,id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,chargeoff_within_12_mths,delinq_amnt,pub_rec_bankruptcies,tax_liens,hardship_flag,disbursement_method,debt_settlement_flag
0,38098114,15000,15000,15000, 60 months,12.39,336.64,C,C1,RENT,78000,Source Verified,Dec-14,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=38098114,debt_consolidation,235xx,VA,12.03,0,Aug-94,750,754,0,6,0,138008,29,17,w,0,0,17392.37,17392.37,15000,2392.37,0,0,0,Jun-16,12017.81,Nov-17,684,680,0,1,Individual,0,0,0,0,0,N,Cash,N
1,36805548,10400,10400,10400, 36 months,6.99,321.08,A,A3,MORTGAGE,58000,Not Verified,Dec-14,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=36805548,credit_card,937xx,CA,14.92,0,Sep-89,710,714,2,17,0,6133,31.6,36,w,0,0,6611.69,6611.69,5217.75,872.67,0,521.27,93.8286,Aug-16,321.08,Feb-17,564,560,0,1,Individual,0,0,0,0,0,N,Cash,N
2,37842129,21425,21425,21425, 60 months,15.59,516.36,D,D1,RENT,63800,Source Verified,Dec-14,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=37842129,credit_card,658xx,MO,18.49,0,Aug-03,685,689,0,10,0,16374,76.2,35,w,0,0,25512.2,25512.2,21425,4087.2,0,0,0,May-16,17813.19,Dec-17,704,700,0,1,Individual,0,0,0,0,0,N,Cash,N
3,37612354,12800,12800,12800, 60 months,17.14,319.08,D,D4,MORTGAGE,125000,Verified,Dec-14,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=37612354,car,953xx,CA,8.31,1,Oct-00,665,669,0,8,0,5753,100.9,13,w,6673.54,6673.54,11207.67,11207.67,6126.46,5081.21,0,0,0,Dec-17,319.08,Dec-17,629,625,0,1,Individual,0,0,0,0,0,N,Cash,N
4,37662224,7650,7650,7650, 36 months,13.66,260.2,C,C3,RENT,50000,Source Verified,Dec-14,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=37662224,debt_consolidation,850xx,AZ,34.81,0,Aug-02,685,689,1,11,0,16822,91.9,20,f,0,0,2281.98,2281.98,704.38,339.61,0,1237.99,222.8382,Aug-15,17.7,Oct-16,559,555,0,1,Individual,0,0,0,0,0,N,Cash,N
5,37822187,9600,9600,9600, 36 months,13.66,326.53,C,C3,RENT,69000,Source Verified,Dec-14,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=37822187,debt_consolidation,077xx,NJ,25.81,0,Nov-92,680,684,0,12,0,16388,59.4,44,f,0,0,9973.43,9973.43,9600,373.43,0,0,0,Apr-15,9338.58,Dec-17,724,720,0,1,Individual,0,0,0,0,0,N,Cash,N
6,37741884,2500,2500,2500, 36 months,11.99,83.03,B,B5,MORTGAGE,89000,Source Verified,Dec-14,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=37741884,home_improvement,554xx,MN,13.77,0,Oct-01,685,689,1,9,0,22908,94.3,32,f,0,0,2622.22,2622.22,2500,122.22,0,0,0,Jun-15,2294.26,Dec-17,769,765,0,1,Individual,0,0,0,0,0,N,Cash,N
7,37854444,16000,16000,16000, 60 months,11.44,351.4,B,B4,OWN,109777,Verified,Dec-14,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=37854444,debt_consolidation,201xx,VA,11.63,1,Nov-03,700,704,0,7,0,7253,60.4,14,w,0,0,18586.72,18586.72,16000,2586.72,0,0,0,Sep-16,4935.54,Oct-16,669,665,0,1,Individual,0,0,0,0,0,N,Cash,N
8,36804663,23325,23325,23325, 36 months,14.31,800.71,C,C4,RENT,72000,Source Verified,Dec-14,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=36804663,credit_card,982xx,WA,27.03,1,Oct-98,665,669,0,14,0,32372,82.2,23,f,0,0,13907.79,13907.79,7301.23,3061.64,0,3544.92,638.0856,Feb-16,800.71,Oct-16,499,0,0,1,Individual,0,0,0,0,0,N,Cash,N
9,37642222,5250,5250,5250, 36 months,11.44,172.98,B,B4,RENT,26000,Not Verified,Dec-14,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=37642222,debt_consolidation,208xx,MD,14.36,0,May-09,745,749,0,8,0,4448,20.2,13,f,0,0,5431.68,5431.68,5250,181.68,0,0,0,May-15,43.4,Apr-15,764,760,0,1,Individual,0,0,0,0,0,N,Cash,N
